Stock,Return (%)
ADANIENT,-6.670855586972458
ADANIPORTS,36.72720712051961
APOLLOHOSP,35.478955645200685
ASIANPAINT,-21.93504586576567
AXISBANK,9.73536333509439
BAJAJ-AUTO,89.01115330562449
BAJAJFINSV,2.5495659972454408
BAJFINANCE,-16.110874039861443
BEL,101.7600574712644
BHARTIARTL,69.599048957095
BPCL,67.47715022263885
BRITANNIA,7.850159605823678
CIPLA,25.67636117686845
COALINDIA,41.846522781774596
DRREDDY,11.178753867843358
EICHERMOT,48.77961448946708
GRASIM,35.781988044977645
HCLTECH,53.25744732380721
HDFCBANK,15.752130234408671
HDFCLIFE,8.625996369663024
HEROMOTOCO,58.97665472874388
HINDALCO,35.86831961662674
HINDUNILVR,-0.9579164810239414
ICICIBANK,35.91938742954376
INDUSINDBK,-30.458408805907762
INFY,32.6534170153417
ITC,7.936327458783395
JSWSTEEL,26.88737422914638
KOTAKBANK,1.9918357893517904
LT,17.253721630196047
M&M,95.97697411213734
MARUTI,6.9267123486261655
NESTLEIND,0.707141320714141
NTPC,51.51326699834162
ONGC,33.04442036836403
POWERGRID,68.8549235780506
RELIANCE,9.172792214514974
SBILIFE,14.909667685403694
SBIN,35.34289742101333
SHRIRAMFIN,48.28949764562034
SUNPHARMA,57.28240395987558
TATACONSUM,9.753831862517417
TATAMOTORS,27.48811346603271
TATASTEEL,11.546875
TCS,20.796277587261848
TECHM,43.68113797072849
TITAN,3.5181853734845467
TRENT,223.09261327764563
ULTRACEMCO,36.970944863875545
WIPRO,40.991490935997035
